slug,name,akc_group,size_band,min_kg,max_kg,min_lb,max_lb,min_lifespan_years,max_lifespan_years,midpoint_kg,daily_kcal_neutered_adult_at_midpoint
dogo-argentino,Dogo Argentino,Working,large,39.9,45.4,88,100.1,9,15,42.65,1869
dogue-de-bordeaux,Dogue de Bordeaux,Working,giant,44.9,49.9,99,110,5,8,47.4,2023
drentsche-patrijshond,Drentsche Patrijshond,Foundation Stock Service,large,21.8,33.1,48.1,73,11,14,27.45,1343
drever,Drever,Foundation Stock Service,medium,15.9,18.1,35.1,39.9,15,15,17,938
dutch-shepherd,Dutch Shepherd,Miscellaneous Class,large,19.1,34,42.1,75,11,14,26.55,1310
english-cocker-spaniel,English Cocker Spaniel,Sporting,medium,11.8,15.4,26,34,12,14,13.6,793
english-foxhound,English Foxhound,Hound,large,27.2,34,60,75,10,13,30.6,1457
english-setter,English Setter,Sporting,large,20.4,36.3,45,80,12,12,28.35,1376
english-springer-spaniel,English Springer Spaniel,Sporting,medium,18.1,22.7,39.9,50,12,14,20.4,1075
english-toy-spaniel,English Toy Spaniel,Toy,small,3.6,6.4,7.9,14.1,10,12,5,374
entlebucher-mountain-dog,Entlebucher Mountain Dog,Herding,medium,18.1,29.5,39.9,65,11,13,23.8,1207
estrela-mountain-dog,Estrela Mountain Dog,Foundation Stock Service,giant,34.9,59.9,76.9,132.1,10,14,47.4,2023
eurasier,Eurasier,Foundation Stock Service,medium,18.1,31.8,39.9,70.1,12,16,24.95,1250
field-spaniel,Field Spaniel,Sporting,medium,15.9,22.7,35.1,50,12,13,19.3,1031
finnish-lapphund,Finnish Lapphund,Herding,medium,15,24,33.1,52.9,12,15,19.5,1039
finnish-spitz,Finnish Spitz,Non-Sporting,medium,9.1,15,20.1,33.1,13,15,12.05,724
flat-coated-retriever,Flat-Coated Retriever,Sporting,large,27.2,31.8,60,70.1,8,10,29.5,1418
french-bulldog,French Bulldog,Non-Sporting,medium,12.7,12.7,28,28,10,12,12.7,753
french-spaniel,French Spaniel,Foundation Stock Service,medium,22.7,27.2,50,60,10,12,24.95,1250
german-longhaired-pointer,German Longhaired Pointer,Foundation Stock Service,large,24.9,36.3,54.9,80,12,14,30.6,1457
german-pinscher,German Pinscher,Working,medium,11.3,20.4,24.9,45,12,14,15.85,890
german-shepherd-dog,German Shepherd Dog,Herding,large,22.7,40.8,50,89.9,7,10,31.75,1498
german-shorthaired-pointer,German Shorthaired Pointer,Sporting,large,20.4,31.8,45,70.1,10,12,26.1,1293
german-spitz,German Spitz,Foundation Stock Service,small,10.9,11.8,24,26,13,15,11.35,693
german-wirehaired-pointer,German Wirehaired Pointer,Sporting,large,22.7,31.8,50,70.1,14,16,27.25,1336
giant-schnauzer,Giant Schnauzer,Working,large,24.9,38.6,54.9,85.1,12,15,31.75,1498
glen-of-imaal-terrier,Glen of Imaal Terrier,Terrier,medium,14.5,18.1,32,39.9,10,15,16.3,909
golden-retriever,Golden Retriever,Sporting,large,24.9,34,54.9,75,10,12,29.45,1416
gordon-setter,Gordon Setter,Sporting,large,20.4,36.3,45,80,12,13,28.35,1376
grand-basset-griffon-vend-en,Grand Basset Griffon Vendéen,Hound,medium,18.1,20.4,39.9,45,13,15,19.25,1029
great-dane,Great Dane,Working,giant,49.9,79.4,110,175,7,10,64.65,2554
great-pyrenees,Great Pyrenees,Working,large,38.6,45.4,85.1,100.1,10,12,42,1848
greater-swiss-mountain-dog,Greater Swiss Mountain Dog,Working,giant,38.6,63.5,85.1,140,8,11,51.05,2139
greyhound,Greyhound,Hound,large,27.2,31.8,60,70.1,10,13,29.5,1418
hamiltonstovare,Hamiltonstovare,Foundation Stock Service,large,18.1,34,39.9,75,14,17,26.05,1291
hanoverian-scenthound,Hanoverian Scenthound,Foundation Stock Service,large,35.8,44.9,78.9,99,10,14,40.35,1793
harrier,Harrier,Hound,medium,20.4,27.2,45,60,12,15,23.8,1207
havanese,Havanese,Toy,toy,3.2,5.9,7.1,13,14,16,4.55,349
hokkaido,Hokkaido,Foundation Stock Service,medium,20,29.9,44.1,65.9,12,15,24.95,1250
hovawart,Hovawart,Foundation Stock Service,large,29.5,40.8,65,89.9,10,14,35.15,1617
ibizan-hound,Ibizan Hound,Hound,medium,20.4,22.7,45,50,11,14,21.55,1120
icelandic-sheepdog,Icelandic Sheepdog,Herding,medium,11.3,13.6,24.9,30,12,14,12.45,742
irish-red-and-white-setter,Irish Red and White Setter,Sporting,medium,15.9,27.2,35.1,60,11,15,21.55,1120
irish-setter,Irish Setter,Sporting,large,27.2,31.8,60,70.1,12,15,29.5,1418
irish-terrier,Irish Terrier,Terrier,small,11.3,12.2,24.9,26.9,13,15,11.75,711
irish-water-spaniel,Irish Water Spaniel,Sporting,large,20.4,30.8,45,67.9,12,13,25.6,1275
irish-wolfhound,Irish Wolfhound,Hound,giant,47.6,54.4,104.9,119.9,6,8,51,2137
italian-greyhound,Italian Greyhound,Toy,toy,3.2,6.4,7.1,14.1,14,15,4.8,363
jagdterrier,Jagdterrier,Foundation Stock Service,small,7.7,10,17,22,10,12,8.85,575
japanese-chin,Japanese Chin,Toy,toy,3.2,5,7.1,11,10,12,4.1,323
japanese-spitz,Japanese Spitz,Foundation Stock Service,small,4.5,11.3,9.9,24.9,12,14,7.9,528
jindo,Jindo,Foundation Stock Service,medium,13.6,22.7,30,50,14,14,18.15,985
kai-ken,Kai Ken,Foundation Stock Service,medium,9.1,18.1,20.1,39.9,12,15,13.6,793
karelian-bear-dog,Karelian Bear Dog,Foundation Stock Service,medium,20,22.2,44.1,48.9,11,13,21.1,1103
keeshond,Keeshond,Non-Sporting,medium,15.9,20.4,35.1,45,12,15,18.15,985
kerry-blue-terrier,Kerry Blue Terrier,Terrier,medium,15,18.1,33.1,39.9,12,15,16.55,919
kishu-ken,Kishu Ken,Foundation Stock Service,medium,13.6,27.2,30,60,11,13,20.4,1075
komondor,Komondor,Working,large,36.3,45.4,80,100.1,10,12,40.85,1810
kromfohrlander,Kromfohrlander,Foundation Stock Service,medium,9.1,15.9,20.1,35.1,13,15,12.5,745
kuvasz,Kuvasz,Working,large,31.8,52.2,70.1,115.1,10,12,42,1848
labrador-retriever,Labrador Retriever,Sporting,large,24.9,36.3,54.9,80,10,12,30.6,1457
lagotto-romagnolo,Lagotto Romagnolo,Sporting,medium,10.9,15.9,24,35.1,15,17,13.4,784
lakeland-terrier,Lakeland Terrier,Terrier,small,7.7,7.7,17,17,12,15,7.7,518
lancashire-heeler,Lancashire Heeler,Miscellaneous Class,small,4.1,7.7,9,17,12,15,5.9,424
lapponian-herder,Lapponian Herder,Foundation Stock Service,large,31.8,31.8,70.1,70.1,10,14,31.8,1500
leonberger,Leonberger,Working,giant,40.8,77.1,89.9,170,9,9,58.95,2383
lhasa-apso,Lhasa Apso,Non-Sporting,small,5.4,8.2,11.9,18.1,12,15,6.8,472
l-wchen,Löwchen,Non-Sporting,small,4.5,6.8,9.9,15,15,15,5.65,410
maltese,Maltese,Toy,toy,3.2,3.2,7.1,7.1,12,15,3.2,268
manchester-terrier-standard,Manchester Terrier (Standard),Terrier,small,5.4,10,11.9,22,15,17,7.7,518
manchester-terrier-toy,Manchester Terrier (Toy),Toy,small,5.4,5.4,11.9,11.9,15,17,5.4,397
mastiff,Mastiff,Working,giant,54.4,104.3,119.9,229.9,6,10,79.35,2978
miniature-american-shepherd,Miniature American Shepherd,Herding,medium,9.1,18.1,20.1,39.9,12,13,13.6,793
miniature-bull-terrier,Miniature Bull Terrier,Terrier,small,8.2,12.7,18.1,28,11,13,10.45,651
miniature-pinscher,Miniature Pinscher,Toy,toy,3.6,4.5,7.9,9.9,12,16,4.05,320
miniature-schnauzer,Miniature Schnauzer,Terrier,small,5,9.1,11,20.1,12,15,7.05,485
mountain-cur,Mountain Cur,Foundation Stock Service,medium,13.6,27.2,30,60,10,13,20.4,1075
mudi,Mudi,Miscellaneous Class,small,8.2,13.2,18.1,29.1,12,14,10.7,663
